"tournamentMode","strategyName","pointsForStrategy","nbTurnTheoric","nbTurnReal","populationSize","nbPersonForStrategy","nbPointByPersonByStrategy","nbPointRatio"
"ELIMINATION","CycliqueTendanceFetard","18","10","10","4","1","18,0","1,8"
"ELIMINATION","Lunatique","28","10","10","4","2","14,0","1,4"
"ELIMINATION","HardJoss","16","10","10","4","1","16,0","1,6"
"ELIMINATION","EasyGo","72","20","20","4","2","36,0","1,8"
"ELIMINATION","Pavlovien","35","20","20","4","1","35,0","1,75"
"ELIMINATION","SondeurFou","35","20","20","4","1","35,0","1,75"
"ELIMINATION","EasyGo","174","30","30","4","3","58,0","1,9333333333333333"
"ELIMINATION","Fetard","58","30","30","4","1","58,0","1,9333333333333333"
"ELIMINATION","Fetard","156","40","40","4","2","78,0","1,95"
"ELIMINATION","CycliqueTendanceFetard","78","40","40","4","1","78,0","1,95"
"ELIMINATION","EasyGo","78","40","40","4","1","78,0","1,95"
"ELIMINATION","Fetard","276","50","50","4","3","92,0","1,84"
"ELIMINATION","EasyGo","92","50","50","4","1","92,0","1,84"
"ELIMINATION","CycliqueTendanceFetard","342","60","60","4","3","114,0","1,9"
"ELIMINATION","EasyGo","114","60","60","4","1","114,0","1,9"
"ELIMINATION","Fetard","414","70","70","4","3","138,0","1,9714285714285715"
"ELIMINATION","EasyGo","138","70","70","4","1","138,0","1,9714285714285715"
"ELIMINATION","CycliqueTendanceFetard","158","80","80","4","1","158,0","1,975"
"ELIMINATION","Fetard","158","80","80","4","1","158,0","1,975"
"ELIMINATION","EasyGo","316","80","80","4","2","158,0","1,975"
"ELIMINATION","EasyGo","344","90","90","4","2","172,0","1,9111111111111112"
"ELIMINATION","Fetard","344","90","90","4","2","172,0","1,9111111111111112"
"ELIMINATION","Fetard","576","100","100","4","3","192,0","1,92"
"ELIMINATION","EasyGo","192","100","100","4","1","192,0","1,92"
"COPIE","Lunatique","39","10","10","10","3","13,0","1,3"
"COPIE","SondeurFou","44","10","10","10","3","14,666666666666666","1,4666666666666666"
"COPIE","HardJoss","31","10","10","10","2","15,5","1,55"
"COPIE","Casanier","10","10","10","10","1","10,0","1,0"
"COPIE","MajorMou","13","10","10","10","1","13,0","1,3"
"COPIE","Fetard","63","20","20","20","3","21,0","1,05"
"COPIE","Lunatique","57","20","20","20","3","19,0","0,95"
"COPIE","CycliqueTendanceFetard","19","20","20","20","1","19,0","0,95"
"COPIE","Mefiant","57","20","20","20","3","19,0","0,95"
"COPIE","MajorMou","38","20","20","20","2","19,0","0,95"
"COPIE","HardJoss","20","20","20","20","1","20,0","1,0"
"COPIE","CycliqueTendanceCasanier","39","20","20","20","2","19,5","0,975"
"COPIE","Rancunier","40","20","20","20","2","20,0","1,0"
"COPIE","EasyGo","22","20","20","20","1","22,0","1,1"
"COPIE","SondeurIntelligent","21","20","20","20","1","21,0","1,05"
"COPIE","Pavlovien","21","20","20","20","1","21,0","1,05"
"COPIE","Fetard","238","30","30","30","8","29,75","0,9916666666666667"
"COPIE","SondeurFou","62","30","30","30","2","31,0","1,0333333333333334"
"COPIE","EasyGo","120","30","30","30","4","30,0","1,0"
"COPIE","HardJoss","28","30","30","30","1","28,0","0,9333333333333333"
"COPIE","Lunatique","53","30","30","30","2","26,5","0,8833333333333333"
"COPIE","Pavlovien","93","30","30","30","3","31,0","1,0333333333333334"
"COPIE","CycliqueTendanceCasanier","90","30","30","30","3","30,0","1,0"
"COPIE","SondeurIntelligent","31","30","30","30","1","31,0","1,0333333333333334"
"COPIE","Rancunier","31","30","30","30","1","31,0","1,0333333333333334"
"COPIE","MajorMou","62","30","30","30","2","31,0","1,0333333333333334"
"COPIE","Casanier","90","30","30","30","3","30,0","1,0"
"COPIE","SondeurIntelligent","373","40","40","40","10","37,3","0,9324999999999999"
"COPIE","Mefiant","126","40","40","40","3","42,0","1,05"
"COPIE","Fetard","210","40","40","40","5","42,0","1,05"
"COPIE","EasyGo","84","40","40","40","2","42,0","1,05"
"COPIE","CycliqueTendanceFetard","126","40","40","40","3","42,0","1,05"
"COPIE","HardJoss","158","40","40","40","4","39,5","0,9875"
"COPIE","Lunatique","33","40","40","40","1","33,0","0,825"
"COPIE","MajorMou","116","40","40","40","3","38,666666666666664","0,9666666666666666"
"COPIE","Casanier","40","40","40","40","1","40,0","1,0"
"COPIE","Pavlovien","123","40","40","40","3","41,0","1,025"
"COPIE","SondeurFou","82","40","40","40","2","41,0","1,025"
"COPIE","CycliqueTendanceCasanier","36","40","40","40","1","36,0","0,9"
"COPIE","Rancunier","80","40","40","40","2","40,0","1,0"
"COPIE","Mefiant","250","50","50","50","5","50,0","1,0"
"COPIE","CycliqueTendanceFetard","150","50","50","50","3","50,0","1,0"
"COPIE","Lunatique","272","50","50","50","6","45,333333333333336","0,9066666666666667"
"COPIE","EasyGo","200","50","50","50","4","50,0","1,0"
"COPIE","HardJoss","341","50","50","50","7","48,714285714285715","0,9742857142857143"
"COPIE","CycliqueTendanceCasanier","150","50","50","50","3","50,0","1,0"
"COPIE","Rancunier","50","50","50","50","1","50,0","1,0"
"COPIE","SondeurIntelligent","153","50","50","50","3","51,0","1,02"
"COPIE","MajorMou","123","50","50","50","3","41,0","0,82"
"COPIE","Pavlovien","343","50","50","50","7","49,0","0,98"
"COPIE","Casanier","100","50","50","50","2","50,0","1,0"
"COPIE","Fetard","250","50","50","50","5","50,0","1,0"
"COPIE","SondeurFou","49","50","50","50","1","49,0","0,98"
"COPIE","EasyGo","617","60","60","60","10","61,7","1,0283333333333333"
"COPIE","Fetard","534","60","60","60","9","59,333333333333336","0,9888888888888889"
"COPIE","SondeurIntelligent","183","60","60","60","3","61,0","1,0166666666666666"
"COPIE","Casanier","420","60","60","60","7","60,0","1,0"
"COPIE","CycliqueTendanceFetard","92","60","60","60","2","46,0","0,7666666666666667"
"COPIE","MajorMou","179","60","60","60","3","59,666666666666664","0,9944444444444444"
"COPIE","Rancunier","180","60","60","60","3","60,0","1,0"
"COPIE","Lunatique","277","60","60","60","5","55,4","0,9233333333333333"
"COPIE","HardJoss","182","60","60","60","3","60,666666666666664","1,011111111111111"
